"","V1","V2"
"1","BayesDissolution","geoR"
"2","BayesDissolution","mnormt"
"3","BayesDissolution","MCMCpack"
"4","BayesDissolution","pscl"
"5","binaryMM","MASS"
"6","binaryMM","Rcpp"
"7","binaryMM","fastGHQuad"
"8","calidad","tidyr"
"9","calidad","dplyr"
"10","calidad","rlang"
"11","calidad","haven"
"12","calidad","stringr"
"13","calidad","survey"
"14","calidad","kableExtra"
"15","calidad","purrr"
"16","catmaply","dplyr"
"17","catmaply","rlang"
"18","catmaply","magrittr"
"19","catmaply","plotly"
"20","circletyper","shiny"
"21","ClusterR","lifecycle"
"22","ClusterR","gmp"
"23","ClusterR","gtools"
"24","ClusterR","Rcpp"
"25","ClusterR","ggplot2"
"26","deepregression","Matrix"
"27","deepregression","tfruns"
"28","deepregression","dplyr"
"29","deepregression","tfprobability"
"30","deepregression","reticulate"
"31","deepregression","keras"
"32","deepregression","tensorflow"
"33","deepregression","magrittr"
"34","deepregression","mgcv"
"35","deepregression","R6"
"36","disordR","Matrix"
"37","disordR","digest"
"38","envalysis","ggplot2"
"39","envalysis","lmtest"
"40","envalysis","drc"
"41","kalmanfilter","Rcpp"
"42","melt","Rcpp"
"43","mpower","tidyr"
"44","mpower","dplyr"
"45","mpower","rlang"
"46","mpower","MASS"
"47","mpower","tibble"
"48","mpower","ggplot2"
"49","mpower","magrittr"
"50","mpower","tidyselect"
"51","mpower","doSNOW"
"52","mpower","foreach"
"53","mpower","snow"
"54","mpower","boot"
"55","mpower","purrr"
"56","mpower","reshape2"
"57","mpower","sbgcop"
"58","mpower","abind"
"59","pksensi","deSolve"
"60","pksensi","ggplot2"
"61","pksensi","doParallel"
"62","pksensi","foreach"
"63","pksensi","data.table"
"64","pRecipe","raster"
"65","pRecipe","scales"
"66","pRecipe","sf"
"67","pRecipe","R.utils"
"68","pRecipe","openair"
"69","pRecipe","ggplot2"
"70","pRecipe","ncdf4"
"71","pRecipe","data.table"
"72","pRecipe","ggpubr"
"73","REDCapTidieR","lifecycle"
"74","REDCapTidieR","cli"
"75","REDCapTidieR","tidyr"
"76","REDCapTidieR","dplyr"
"77","REDCapTidieR","rlang"
"78","REDCapTidieR","stringr"
"79","REDCapTidieR","REDCapR"
"80","REDCapTidieR","tibble"
"81","REDCapTidieR","stringi"
"82","REDCapTidieR","lobstr"
"83","REDCapTidieR","checkmate"
"84","REDCapTidieR","tidyselect"
"85","REDCapTidieR","formattable"
"86","REDCapTidieR","purrr"
"87","Rlabkey","httr"
"88","Rlabkey","Rcpp"
"89","Rlabkey","jsonlite"
"90","RPhosFate","raster"
"91","RPhosFate","Rcpp"
"92","RPhosFate","checkmate"
"93","RPhosFate","spatstat.geom"
"94","RPhosFate","yaml"
"95","RPhosFate","hydroGOF"
"96","saeMSPE","Matrix"
"97","saeMSPE","Rcpp"
"98","saeMSPE","smallarea"
"99","SCORPION","Matrix"
"100","SCORPION","cli"
"101","SCORPION","igraph"
"102","SCORPION","irlba"
"103","SCORPION","RhpcBLASctl"
"104","SCORPION","pbapply"
"105","SCORPION","RANN"
"106","sctransform","Matrix"
"107","sctransform","future.apply"
"108","sctransform","future"
"109","sctransform","dplyr"
"110","sctransform","rlang"
"111","sctransform","MASS"
"112","sctransform","ggplot2"
"113","sctransform","matrixStats"
"114","sctransform","magrittr"
"115","sctransform","reshape2"
"116","sctransform","gridExtra"
"117","Signac","SeuratObject"
"118","Signac","Matrix"
"119","Signac","tidyr"
"120","Signac","future.apply"
"121","Signac","future"
"122","Signac","dplyr"
"123","Signac","scales"
"124","Signac","patchwork"
"125","Signac","stringi"
"126","Signac","Rcpp"
"127","Signac","ggplot2"
"128","Signac","vctrs"
"129","Signac","tidyselect"
"130","Signac","irlba"
"131","Signac","data.table"
"132","Signac","pbapply"
"133","Signac","fastmatch"
"134","Signac","RcppRoll"
"135","snahelper","DT"
"136","snahelper","rstudioapi"
"137","snahelper","graphlayouts"
"138","snahelper","ggraph"
"139","snahelper","igraph"
"140","snahelper","shiny"
"141","snahelper","ggplot2"
"142","snahelper","formatR"
"143","snahelper","colourpicker"
"144","snahelper","miniUI"
"145","stdmod","ggplot2"
"146","stdmod","boot"
"147","verbaliseR","stringr"
"148","admiral","lifecycle"
"149","admiral","tidyr"
"150","admiral","dplyr"
"151","admiral","rlang"
"152","admiral","admiraldev"
"153","admiral","stringr"
"154","admiral","hms"
"155","admiral","magrittr"
"156","admiral","tidyselect"
"157","admiral","lubridate"
"158","admiral","purrr"
"159","alakazam","Matrix"
